network,data_aug,embedding,regularization,number_of_layers,layer1_filters,layer1_kernel_size,layer2_filters,layer2_kernel_size,layer3_filters,layer3_kernel_size,k_folds,best_number_epochs,optimizer,rate,batch_size,loss,accuracy
conv,True,Glove,False,3,128,5,128,4,128,3,3,29.0,adam,0.5,512,1.037,0.756
conv,True,Glove,False,3,128,3,128,3,128,3,3,29.0,adam,0.5,512,0.778,0.77
conv,True,Word2Vec,False,3,128,3,128,3,128,3,3,29.0,adam,0.5,512,0.676,0.792
conv,True,Word2Vec,False,3,32,3,64,3,128,3,3,29.0,adam,0.5,512,0.624,0.787
conv,True,Word2Vec,False,3,32,5,64,5,128,5,3,29.0,adam,0.5,512,0.678,0.781
conv,True,Word2Vec,True,3,32,3,64,3,128,3,3,29.0,adam,0.5,512,0.78,0.767
conv,True,Glove,False,2,128,4,128,3,,,3,29.0,adam,0.5,512,0.713,0.777
conv,True,Glove,False,2,64,5,64,5,,,3,29.0,adam,0.5,512,0.752,0.755
conv,True,Word2Vec,False,2,64,5,64,5,,,3,29.0,adam,0.5,512,0.671,0.779
conv,True,Word2Vec,False,2,64,3,128,3,,,3,28.0,adam,0.5,512,0.626,0.79
conv,True,Word2Vec,False,2,64,5,128,5,,,3,29.0,adam,0.5,512,0.677,0.787
conv,True,Word2Vec,True,2,64,3,128,3,,,3,27.0,adam,0.5,512,0.751,0.772
conv,True,Glove,False,1,128,3,,,,,3,29.0,adam,0.5,512,0.652,0.779
conv,True,Word2Vec,False,1,128,3,,,,,3,29.0,adam,0.5,512,0.626,0.784
conv,True,Word2Vec,False,1,128,5,,,,,3,29.0,adam,0.5,512,0.647,0.782
conv,True,Word2Vec,False,1,64,3,,,,,3,28.0,adam,0.5,512,0.666,0.775
conv,True,Word2Vec,True,1,64,5,,,,,3,28.0,adam,0.5,512,0.753,0.771
