network,data_aug,embedding,regularization,number_of_layers,layer1_filters,layer1_kernel_size,layer2_filters,layer2_kernel_size,layer3_filters,layer3_kernel_size,k_folds,best_number_epochs,optimizer,rate,batch_size,loss,accuracy
conv,False,Glove,False,3,128,5,128,4,128,3,3,29.0,adam,0.5,512,1.107,0.758
conv,False,Glove,False,3,128,3,128,3,128,3,3,29.0,adam,0.5,512,0.831,0.769
conv,False,Word2Vec,False,3,128,3,128,3,128,3,3,29.0,adam,0.5,512,0.686,0.789
conv,False,Word2Vec,False,3,32,3,64,3,128,3,3,29.0,adam,0.5,512,0.628,0.788
conv,False,Word2Vec,False,3,32,5,64,5,128,5,3,29.0,adam,0.5,512,0.664,0.784
conv,False,Word2Vec,True,3,32,3,64,3,128,3,3,28.0,adam,0.5,512,0.754,0.776
conv,False,Glove,False,2,128,4,128,3,,,3,29.0,adam,0.5,512,0.711,0.78
conv,False,Glove,False,2,64,5,64,5,,,3,29.0,adam,0.5,512,0.731,0.766
conv,False,Word2Vec,False,2,64,5,64,5,,,3,29.0,adam,0.5,512,0.666,0.784
conv,False,Word2Vec,False,2,64,3,128,3,,,3,29.0,adam,0.5,512,0.619,0.791
conv,False,Word2Vec,False,2,64,5,128,5,,,3,29.0,adam,0.5,512,0.667,0.785
conv,False,Word2Vec,True,2,64,3,128,3,,,3,26.0,adam,0.5,512,0.73,0.773
conv,False,Glove,False,1,128,3,,,,,3,29.0,adam,0.5,512,0.636,0.787
conv,False,Word2Vec,False,1,128,3,,,,,3,29.0,adam,0.5,512,0.624,0.787
conv,False,Word2Vec,False,1,128,5,,,,,3,29.0,adam,0.5,512,0.647,0.785
conv,False,Word2Vec,False,1,64,3,,,,,3,28.0,adam,0.5,512,0.649,0.78
conv,False,Word2Vec,True,1,64,5,,,,,3,23.0,adam,0.5,512,0.733,0.777
