network,data_aug,embedding,regularization,number_of_layers,layer1_filters,layer1_kernel_size,layer2_filters,layer2_kernel_size,layer3_filters,layer3_kernel_size,k_folds,best_number_epochs,optimizer,rate,batch_size,loss,accuracy
conv,FALSE,Glove,FALSE,3,128,5,128,4,128,3,3,29,adam,0.5,512,1.107,0.758
conv,TRUE,Glove,FALSE,3,128,5,128,4,128,3,3,29,adam,0.5,512,1.037,0.756
conv,FALSE,Glove,FALSE,3,128,3,128,3,128,3,3,29,adam,0.5,512,0.831,0.769
conv,TRUE,Glove,FALSE,3,128,3,128,3,128,3,3,29,adam,0.5,512,0.778,0.77
conv,FALSE,Word2Vec,FALSE,3,128,3,128,3,128,3,3,29,adam,0.5,512,0.686,0.789
conv,TRUE,Word2Vec,FALSE,3,128,3,128,3,128,3,3,29,adam,0.5,512,0.676,0.792
conv,FALSE,Word2Vec,FALSE,3,32,3,64,3,128,3,3,29,adam,0.5,512,0.628,0.788
conv,TRUE,Word2Vec,FALSE,3,32,3,64,3,128,3,3,29,adam,0.5,512,0.624,0.787
conv,FALSE,Word2Vec,FALSE,3,32,5,64,5,128,5,3,29,adam,0.5,512,0.664,0.784
conv,TRUE,Word2Vec,FALSE,3,32,5,64,5,128,5,3,29,adam,0.5,512,0.678,0.781
conv,FALSE,Word2Vec,TRUE,3,32,3,64,3,128,3,3,28,adam,0.5,512,0.754,0.776
conv,TRUE,Word2Vec,TRUE,3,32,3,64,3,128,3,3,29,adam,0.5,512,0.78,0.767
conv,FALSE,Glove,FALSE,2,128,4,128,3,,,3,29,adam,0.5,512,0.711,0.78
conv,TRUE,Glove,FALSE,2,128,4,128,3,,,3,29,adam,0.5,512,0.713,0.777
conv,FALSE,Glove,FALSE,2,64,5,64,5,,,3,29,adam,0.5,512,0.731,0.766
conv,TRUE,Glove,FALSE,2,64,5,64,5,,,3,29,adam,0.5,512,0.752,0.755
conv,FALSE,Word2Vec,FALSE,2,64,5,64,5,,,3,29,adam,0.5,512,0.666,0.784
conv,TRUE,Word2Vec,FALSE,2,64,5,64,5,,,3,29,adam,0.5,512,0.671,0.779
conv,FALSE,Word2Vec,FALSE,2,64,3,128,3,,,3,29,adam,0.5,512,0.619,0.791
conv,TRUE,Word2Vec,FALSE,2,64,3,128,3,,,3,28,adam,0.5,512,0.626,0.79
conv,FALSE,Word2Vec,FALSE,2,64,5,128,5,,,3,29,adam,0.5,512,0.667,0.785
conv,TRUE,Word2Vec,FALSE,2,64,5,128,5,,,3,29,adam,0.5,512,0.677,0.787
conv,FALSE,Word2Vec,TRUE,2,64,3,128,3,,,3,26,adam,0.5,512,0.73,0.773
conv,TRUE,Word2Vec,TRUE,2,64,3,128,3,,,3,27,adam,0.5,512,0.751,0.772
conv,FALSE,Glove,FALSE,1,128,3,,,,,3,29,adam,0.5,512,0.636,0.787
conv,TRUE,Glove,FALSE,1,128,3,,,,,3,29,adam,0.5,512,0.652,0.779
conv,FALSE,Word2Vec,FALSE,1,128,3,,,,,3,29,adam,0.5,512,0.624,0.787
conv,TRUE,Word2Vec,FALSE,1,128,3,,,,,3,29,adam,0.5,512,0.626,0.784
conv,FALSE,Word2Vec,FALSE,1,128,5,,,,,3,29,adam,0.5,512,0.647,0.785
conv,TRUE,Word2Vec,FALSE,1,128,5,,,,,3,29,adam,0.5,512,0.647,0.782
conv,FALSE,Word2Vec,FALSE,1,64,3,,,,,3,28,adam,0.5,512,0.649,0.78
conv,TRUE,Word2Vec,FALSE,1,64,3,,,,,3,28,adam,0.5,512,0.666,0.775
conv,FALSE,Word2Vec,TRUE,1,64,5,,,,,3,23,adam,0.5,512,0.733,0.777
conv,TRUE,Word2Vec,TRUE,1,64,5,,,,,3,28,adam,0.5,512,0.753,0.771
