network,data_aug,embedding,regularization,number_of_layers,layer1_units,layer1_dropout,layer2_units,layer2_dropout,layer3_units,layer3_dropout,k_folds,best_number_epochs,optimizer,rate,batch_size,loss,accuracy
lstm,True,Glove,False,3,128,,128,,128,,3,14.0,adam,0.5,512,1.798,0.299
lstm,True,Word2Vec,False,3,128,,128,,128,,3,15.0,adam,0.5,512,1.798,0.299
lstm,True,Glove,False,3,128,0.2,128,0.2,128,0.2,3,20.0,adam,0.5,512,1.429,0.456
lstm,True,Glove,False,3,32,0.2,64,0.2,128,0.2,3,14.0,adam,0.5,512,1.572,0.408
lstm,True,Glove,False,3,32,0.4,64,0.4,128,0.4,3,15.0,adam,0.5,512,1.798,0.299
lstm,True,Glove,True,3,32,0.2,64,0.2,128,0.2,3,21.0,adam,0.5,512,1.811,0.299
lstm,True,Glove,False,2,64,,64,,,,3,25.0,adam,0.5,512,1.439,0.453
lstm,True,Word2Vec,False,2,64,,64,,,,3,17.0,adam,0.5,512,1.798,0.299
lstm,True,Glove,False,2,64,0.2,64,0.2,,,3,20.0,adam,0.5,512,1.6,0.396
lstm,True,Glove,False,2,64,0.2,128,0.2,,,3,12.0,adam,0.5,512,1.798,0.3
lstm,True,Glove,False,2,64,0.4,128,0.4,,,3,10.0,adam,0.5,512,1.484,0.438
lstm,True,Glove,True,2,64,0.2,128,0.2,,,3,14.0,adam,0.5,512,1.798,0.299
lstm,True,Glove,False,1,128,,,,,,3,7.0,adam,0.5,512,1.798,0.299
lstm,True,Word2Vec,False,1,128,,,,,,3,16.0,adam,0.5,512,1.798,0.299
lstm,True,Glove,False,1,64,,,,,,3,14.0,adam,0.5,512,1.591,0.404
lstm,True,Glove,False,1,64,0.2,,,,,3,15.0,adam,0.5,512,1.555,0.414
lstm,True,Glove,True,1,64,0.2,,,,,3,21.0,adam,0.5,512,1.64,0.375
